config,n_platforms,rho_e,alpha,iteration,platform_id,n_bursts,slope,r2,classification
exp2_np27_rho005_alpha10,27,0.05,10,80,922,3,-1.0000000000000018,0.4285714285714285,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,80,926,4,-1.8000000000000016,0.47647058823529465,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,82,910,3,2.0000000000000004,0.9230769230769232,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,82,921,3,7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,81,908,3,7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,81,927,4,0.6,0.052941176470587936,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,83,914,3,4.499999999999998,0.5898058252427183,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,83,918,3,-0.4999999999999985,0.024193548387096753,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,83,925,3,6.500000000000001,0.9118705035971223,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,86,907,4,2.699999999999998,0.9406451612903226,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,86,911,5,3.299999999999999,0.8868078175895766,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,86,924,3,3.999999999999999,0.7499999999999999,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,88,901,7,0.03571428571428585,0.00023992322456789505,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,88,906,4,4.499999999999999,0.8823529411764707,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,88,907,5,-2.199999999999999,0.3781249999999997,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,88,909,4,-2.7000000000000024,0.3767441860465116,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,88,911,3,-2.0000000000000004,0.1578947368421052,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,88,913,4,-3.3000000000000047,0.5299270072992703,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,88,915,5,1.5000000000000002,0.22773279352226716,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,90,906,3,3.5000000000000004,0.8546511627906979,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,90,907,3,-1.0000000000000002,0.25,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,90,908,3,0.4999999999999993,0.03571428571428614,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,90,922,3,1.0000000000000002,1.0,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,91,904,3,5.499999999999998,0.9355670103092784,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,91,907,3,-1.999999999999999,0.7500000000000004,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,91,918,3,3.499999999999998,0.7499999999999998,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,92,903,3,0.9999999999999978,0.7500000000000009,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,92,911,4,2.399999999999999,0.4173913043478261,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,92,916,3,5.499999999999997,0.9355670103092784,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,94,912,3,2.9999999999999987,0.8709677419354839,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,94,925,3,1.9999999999999996,0.4285714285714287,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,93,901,4,1.6999999999999986,0.6963855421686743,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,93,902,4,-0.3000000000000031,0.06666666666666721,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,93,905,3,-1.4999999999999996,0.1377551020408162,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,93,914,3,3.0,0.9642857142857143,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,95,909,5,-0.5999999999999992,0.06666666666666632,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,95,912,3,0.5000000000000024,0.02419354838709642,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,95,915,4,0.999999999999998,0.2631578947368417,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,95,919,4,0.1999999999999959,0.0016393442622949506,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,96,915,3,-2.999999999999997,0.9642857142857143,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,98,904,3,3.4999999999999982,0.6447368421052633,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,98,908,3,7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,98,910,4,1.9999999999999987,0.4878048780487807,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,98,913,3,1.0000000000000002,0.1578947368421052,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,97,902,4,-1.1000000000000019,0.057756563245823456,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,97,914,3,0.9999999999999954,0.04477611940298476,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,97,916,3,-0.9999999999999994,0.15789473684210498,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,97,923,3,3.499999999999995,0.3371559633027523,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,105,902,4,-2.9000000000000044,0.31205936920222654,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,105,909,3,0.0,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,105,910,6,-0.2571428571428551,0.005800214822771488,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,105,917,4,3.7999999999999976,0.8022222222222222,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,105,926,3,1.499999999999999,0.3552631578947373,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,100,907,6,1.5714285714285716,0.1452581032412964,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,100,915,3,-6.500000000000002,0.692622950819672,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,101,919,4,0.19999999999999873,0.014285714285714568,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,106,901,5,0.19999999999999996,0.018867924528302105,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,106,904,3,0.5000000000000009,0.10714285714285787,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,106,907,3,-2.4999999999999996,0.4807692307692307,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,106,913,3,0.9999999999999978,0.07692307692307665,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,106,926,4,-1.4000000000000026,0.18490566037735867,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,108,908,3,-5.500000000000002,0.8175675675675675,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,108,913,3,7.944109290391275e-16,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,108,914,4,1.6999999999999986,0.3931972789115644,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,107,904,3,-2.0000000000000004,0.7499999999999998,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,111,918,3,2.4999999999999982,0.8928571428571429,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,109,910,3,1.5000000000000004,0.18243243243243246,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,109,911,3,1.499999999999999,0.9642857142857144,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,110,906,3,3.4999999999999996,0.9423076923076924,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,110,908,4,1.9999999999999998,0.6896551724137931,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,112,912,3,-4.500000000000001,0.7500000000000001,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,112,917,3,6.000000000000002,0.9230769230769231,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,113,901,4,4.099999999999998,0.6847250509164969,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,113,907,3,7.999999999999996,0.8421052631578948,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,113,916,4,1.8999999999999988,0.674766355140187,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,113,919,4,-1.5000000000000022,0.4545454545454547,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,113,925,3,-1.9999999999999971,0.06629834254143652,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,114,901,3,-0.4999999999999977,0.10714285714285654,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,114,902,3,-0.9999999999999986,0.07692307692307643,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,114,903,3,-6.500000000000002,0.6926229508196722,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,114,908,4,4.599999999999999,0.7100671140939598,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,114,909,3,4.5,0.9067164179104478,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,114,916,3,0.5000000000000001,0.10714285714285732,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,114,917,9,-0.6999999999999994,0.16496259351620945,raiding_stable
