step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
54,6.412434,0.021577,640.420000,3.575028,159.095000,3.384842,100.485000,1.938558,617.415000,5.066486,11.660000,1.975913,605.755000,4.523934,11.810578,0.123336,5.812640,0.022806,6.067375,0.028571,6.265945,0.057599,8.910397,0.084118
55,6.426937,0.019636,637.235000,3.836701,162.110000,3.334774,100.655000,2.148088,610.630000,4.744237,9.720000,1.931484,600.910000,4.526615,11.837280,0.117594,5.825788,0.020628,6.082479,0.027627,6.259290,0.053094,8.953095,0.088130
56,6.428472,0.018425,638.315000,4.315772,159.820000,3.657250,101.865000,2.126868,614.635000,4.799334,11.800000,2.056886,602.835000,4.358041,11.858023,0.126159,5.825188,0.020066,6.093387,0.026149,6.228685,0.056742,8.901140,0.091767
57,6.426225,0.018946,642.405000,4.104942,157.410000,3.576831,100.185000,2.173971,618.890000,4.827101,12.165000,2.064043,606.725000,4.597509,11.874351,0.125400,5.820878,0.022495,6.076296,0.026051,6.257626,0.055251,9.011344,0.093277
58,6.424414,0.019658,637.060000,3.791902,162.900000,3.353282,100.040000,2.004450,611.535000,4.634561,9.700000,1.857082,601.835000,4.451674,11.851941,0.121662,5.821355,0.020055,6.086727,0.026407,6.217415,0.056558,8.977732,0.090154
59,6.422395,0.019260,636.875000,3.942489,162.680000,3.502981,100.445000,2.292214,615.590000,4.611538,11.640000,2.021148,603.950000,4.460403,11.813430,0.117267,5.823391,0.022146,6.082504,0.026739,6.218612,0.054061,8.987144,0.092621
60,6.436381,0.020583,634.200000,4.264959,164.210000,3.903334,101.590000,2.037138,610.385000,5.149524,11.790000,2.015579,598.595000,4.620026,11.799588,0.123859,5.840469,0.020554,6.103055,0.026215,6.236354,0.057939,8.919814,0.089515
61,6.428003,0.020034,636.125000,3.794149,162.885000,3.409238,100.990000,2.067557,611.485000,5.102833,11.110000,2.092513,600.375000,4.669947,11.835513,0.118690,5.827168,0.021818,6.091793,0.028906,6.210895,0.058102,8.975584,0.090531
62,6.430036,0.019262,637.420000,3.764918,162.825000,3.165942,99.755000,2.257541,615.365000,4.438763,11.650000,2.016161,603.715000,4.137854,11.842499,0.117752,5.828651,0.021815,6.083588,0.028708,6.251078,0.058977,9.033991,0.093372
63,6.425248,0.019657,639.575000,4.111224,158.930000,3.626393,101.495000,2.099568,612.220000,4.549458,9.745000,1.836805,602.475000,4.223202,11.785102,0.107952,5.829709,0.021299,6.082485,0.027212,6.240413,0.052087,8.942487,0.089368
64,6.422973,0.021206,636.790000,4.051869,163.545000,3.663000,99.665000,2.063832,614.220000,5.089313,11.990000,2.146308,602.230000,4.620749,11.831503,0.125583,5.822025,0.023613,6.077447,0.029058,6.214831,0.053373,9.046386,0.092962
65,6.428534,0.021011,640.040000,4.042526,158.840000,3.213361,101.120000,2.219208,609.990000,4.589862,9.920000,1.765715,600.070000,4.230158,11.786956,0.105171,5.833154,0.022762,6.082449,0.028781,6.257099,0.052701,8.971405,0.092203
66,6.428838,0.020009,637.315000,4.078864,161.930000,3.543138,100.755000,2.299983,612.095000,4.770173,11.120000,1.824232,600.975000,4.285267,11.728759,0.113348,5.839958,0.021547,6.107613,0.028472,6.144717,0.048323,9.016493,0.098778
67,6.445646,0.019503,639.120000,3.799173,160.965000,3.483462,99.915000,2.001845,607.515000,4.438063,9.190000,1.792679,598.325000,4.418641,11.803434,0.114918,5.850336,0.021143,6.109493,0.024593,6.226520,0.056515,9.030107,0.095396
