step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
70,6.762936,0.032934,649.700000,8.860087,156.400000,8.487649,93.900000,2.397068,683.520000,9.982813,47.200000,7.650305,636.320000,5.258767,9.236792,0.141099,6.326373,0.028701,6.436943,0.038869,6.339525,0.057288,9.711363,0.087672
71,6.777266,0.039854,650.740000,7.916786,152.760000,7.492197,96.500000,2.916977,677.400000,11.621990,41.080000,8.194551,636.320000,5.851247,9.252731,0.150595,6.340420,0.036390,6.462389,0.050245,6.363730,0.049990,9.577848,0.089771
72,6.767019,0.033843,651.800000,8.588837,152.500000,7.810796,95.700000,2.800700,672.660000,11.092893,37.380000,8.590825,635.280000,6.072590,9.284340,0.154834,6.322786,0.034024,6.433183,0.044360,6.368593,0.063552,9.657032,0.100273
73,6.744329,0.026163,644.100000,8.049257,161.720000,7.899780,94.180000,2.935431,694.900000,7.662644,57.140000,5.386784,637.760000,5.295646,9.094174,0.132485,6.329650,0.025752,6.411100,0.032001,6.350812,0.044175,9.712380,0.094376
74,6.771492,0.030057,650.660000,9.142180,155.420000,8.966663,93.920000,2.853166,680.680000,9.015903,43.500000,7.491923,637.180000,5.051402,9.319520,0.133900,6.321840,0.029628,6.435035,0.041722,6.410491,0.062901,9.680782,0.097698
75,6.740571,0.037925,640.700000,8.473829,162.800000,8.409142,96.500000,2.789480,685.700000,10.998584,47.940000,7.355086,637.760000,6.629217,9.165284,0.161393,6.312681,0.036701,6.417232,0.043590,6.355883,0.070511,9.550985,0.102081
76,6.737547,0.032778,646.620000,8.880705,157.780000,8.560913,95.600000,2.459541,687.140000,8.270768,48.560000,6.776963,638.580000,5.450469,9.171528,0.142049,6.308021,0.030981,6.392945,0.041461,6.373965,0.058868,9.665819,0.089541
77,6.752189,0.035779,645.260000,8.599020,158.660000,8.142102,96.080000,2.655038,688.720000,8.934420,51.120000,6.427239,637.600000,5.449292,9.255464,0.134892,6.310434,0.035770,6.417280,0.045481,6.366738,0.074040,9.623123,0.093165
78,6.741161,0.033391,653.840000,6.943630,150.760000,6.615722,95.400000,2.784276,688.860000,8.861460,51.400000,6.678572,637.460000,6.212773,9.212860,0.136075,6.304978,0.039373,6.404475,0.045151,6.339864,0.066625,9.670688,0.104269
79,6.730647,0.037424,651.420000,7.492936,152.900000,6.846959,95.680000,2.705119,681.700000,10.256144,44.740000,7.686458,636.960000,6.203112,9.090937,0.184368,6.314125,0.032506,6.407278,0.047114,6.309038,0.052459,9.624305,0.097569
80,6.739052,0.031385,648.320000,8.915868,156.980000,8.205766,94.700000,2.581017,684.200000,10.937647,45.800000,7.657271,638.400000,6.851023,9.164184,0.138064,6.311087,0.029169,6.403629,0.039827,6.342806,0.051909,9.696362,0.100473
81,6.727349,0.026627,644.280000,9.051935,161.180000,8.398075,94.540000,2.522618,689.580000,6.734472,51.820000,5.908382,637.760000,5.552354,9.114716,0.116602,6.306048,0.029643,6.384127,0.033634,6.388295,0.049261,9.662065,0.110092
82,6.742921,0.032006,643.000000,8.142369,163.320000,8.303771,93.680000,2.683002,691.600000,7.897787,46.380000,7.272865,645.220000,4.229127,9.339728,0.130284,6.284660,0.033358,6.398316,0.041636,6.401490,0.061977,9.697553,0.112511
83,6.756961,0.030017,646.600000,9.665801,159.260000,9.585788,94.140000,2.557680,689.160000,9.486731,51.900000,6.610669,637.260000,5.931193,9.124057,0.127189,6.339238,0.031668,6.428843,0.038039,6.380803,0.049806,9.644414,0.087880
84,6.740509,0.030589,650.180000,8.135181,155.100000,7.022867,94.720000,2.411930,684.460000,9.044687,44.500000,7.775787,639.960000,5.057070,9.250900,0.142446,6.297499,0.027443,6.402363,0.040886,6.373041,0.059751,9.657163,0.102230
85,6.735526,0.032372,644.060000,8.719905,160.400000,8.308596,95.540000,2.389836,684.840000,8.371459,42.560000,7.524275,642.280000,4.969204,9.224761,0.133309,6.296249,0.030529,6.405775,0.040434,6.315164,0.067627,9.636026,0.085467
86,6.757760,0.029181,642.280000,8.876493,160.340000,7.855307,97.380000,2.773493,681.120000,8.158652,44.280000,6.987229,636.840000,5.631651,9.167094,0.163603,6.332583,0.032551,6.423005,0.041514,6.388238,0.067418,9.577325,0.088597
87,6.745060,0.032599,643.700000,9.458572,162.100000,8.794719,94.200000,2.453158,687.540000,8.764530,46.140000,7.016559,641.400000,5.458779,9.256851,0.145912,6.301803,0.033594,6.397904,0.036996,6.381172,0.065677,9.728870,0.106313
88,6.760528,0.031600,647.680000,8.723326,157.040000,8.754460,95.280000,2.443577,685.940000,8.088155,48.140000,7.293989,637.800000,4.865881,9.276077,0.149921,6.316607,0.028212,6.411640,0.040211,6.444889,0.073698,9.622979,0.079366
89,6.741401,0.031080,638.980000,10.137777,165.100000,9.637411,95.920000,2.460714,681.960000,9.048456,42.000000,8.015241,639.960000,5.512221,9.270743,0.120284,6.295046,0.029326,6.411791,0.037062,6.345782,0.062484,9.611633,0.085068
90,6.736267,0.031561,640.620000,8.233312,163.720000,7.488948,95.660000,2.812076,684.580000,9.450419,44.520000,7.415982,640.060000,5.739771,9.181076,0.168078,6.304830,0.033361,6.384494,0.043370,6.390422,0.068561,9.659659,0.080668
91,6.739648,0.033731,646.520000,8.363003,158.480000,8.181031,95.000000,2.648628,686.220000,9.052325,45.300000,7.288664,640.920000,5.297505,9.214022,0.140008,6.302994,0.035719,6.390086,0.042864,6.408165,0.064681,9.646285,0.083003
92,6.722410,0.030944,647.140000,8.714077,158.460000,8.321270,94.400000,2.558287,691.860000,8.328578,49.500000,6.812061,642.360000,5.384673,9.179023,0.133028,6.288890,0.032140,6.371870,0.037748,6.377884,0.072751,9.687376,0.108752
93,6.750870,0.031158,640.440000,8.625302,163.340000,8.094007,96.220000,2.336140,687.440000,9.310016,47.840000,7.641766,639.600000,4.690313,9.200556,0.151256,6.318573,0.031543,6.413358,0.037450,6.401841,0.080138,9.576499,0.099837
94,6.739299,0.034723,646.960000,9.329499,159.600000,8.876309,93.440000,2.712482,686.180000,9.152992,41.000000,7.707887,645.180000,5.793413,9.239606,0.145193,6.298069,0.036901,6.380756,0.045281,6.429900,0.069806,9.758749,0.100013
95,6.713736,0.035515,648.060000,8.456261,156.960000,7.112212,94.980000,2.608356,687.700000,9.020390,47.600000,7.259942,640.100000,5.198130,9.078859,0.162402,6.296362,0.035111,6.382114,0.040433,6.320295,0.060926,9.632368,0.093981
96,6.752249,0.029811,646.560000,7.677549,158.540000,7.539274,94.900000,2.446277,685.760000,8.860319,48.620000,6.476150,637.140000,5.015052,9.233619,0.124260,6.314360,0.029406,6.403128,0.039296,6.426064,0.055788,9.674261,0.099536
97,6.734825,0.034328,643.400000,10.254577,162.480000,9.695804,94.120000,2.723144,686.620000,9.540055,45.860000,7.418681,640.760000,5.061595,9.177489,0.144891,6.303766,0.033324,6.397397,0.040311,6.364567,0.075215,9.682882,0.090534
98,6.724937,0.030147,647.500000,9.138344,158.840000,8.664697,93.660000,2.762571,698.500000,8.928840,53.700000,6.894883,644.800000,4.662820,9.244016,0.149222,6.280394,0.029995,6.384780,0.040942,6.342950,0.072029,9.700473,0.102230
99,6.770098,0.037203,651.660000,9.107124,153.760000,8.593320,94.580000,2.327263,683.360000,9.575961,44.720000,8.082071,638.640000,5.089152,9.305984,0.144230,6.322589,0.033078,6.442572,0.046136,6.378009,0.066989,9.632587,0.081275
100,6.772900,0.031028,647.120000,7.728941,158.640000,7.979314,94.240000,2.274427,679.780000,9.317782,44.060000,7.674945,635.720000,5.368715,9.222931,0.145370,6.340541,0.032433,6.437891,0.041513,6.406708,0.070093,9.660692,0.076891
